"ParentCorpID";"ParentCorpName";"Exchange";"TickerSymbol"
"1";1;"Micron Technology, Inc.";"NYSE";"MU"
"2";2;"IDACORP, Inc";"NYSE";"IDA"
"3";3;"HP Inc.";"NYSE";"HPQ"
"4";4;"AMP Capital";"ASX";"AMP"
"5";5;"Happy Family Brands";"NYSE";"HFB"
"6";6;"Airbus SE";"Paris";"AIRBUS_SE"
"7";7;"Coca-Cola FEMSA";"NYSE";"FMX"
"8";8;"Kerry Group";"Dublin";"KYG"
"9";9;"TH Real Estate";"London";"THRE"
"10";10;"Google";"NYSE";"GOOGL"
"11";11;"Visa";"NYSE";"VISA"
"12";12;"Microsoft";"NYSE";"MSFT"
"13";13;"Apple";"NYSE";"APPL"
"14";14;"Volkswagen";"Frankfurt";"VOW"
"15";15;"Bank of America";"NYSE";"BAC"
"16";16;"Safran";"Euronext Paris";"SAF"
"17";17;"Univar";"NYSE";"UNVR"
"18";18;"Charter Communications";"NASDAQ";"CHTR"
"19";19;"Summit Materials";"NYSE";"SUM"
"20";20;"Charles Schwab";"NYSE";"SCHW"
"21";21;"Eagle Pharmaceuticals";"NASDAQ";"EGRX"
"22";22;"American Water";"NYSE";"AWK"
"23";23;"TetraTech";"NASDAQ";"TTEK"
